Laptop,URL,Price
" HP 17.3 12GB Powerful Gaming Laptop 3.40GHz A12 QuadCore 2TB AMD Radeon R7 WIN10",http://www.ebay.com/itm/HP-17-3-12GB-Powerful-Gaming-Laptop-3-40GHz-A12-QuadCore-2TB-AMD-Radeon-R7-WIN10-/112408576042?var=&hash=item1a2c12c02a:m:m9UrrZe_xqNbAlcoLscux6Q,"$487.95 to $507.95 "
" DELL LAPTOP LATiTUDE WINDOWS 10 CORE 2 DUO 4GB RAM WIN DVD WIFI PC HD COMPUTER",http://www.ebay.com/itm/DELL-LAPTOP-LATiTUDE-WINDOWS-10-CORE-2-DUO-4GB-RAM-WIN-DVD-WIFI-PC-HD-COMPUTER-/151744607899?hash=item2354aef69b:g:HYgAAOSwuYVWp6IL," $129.98"
" New HP 15.6"" Intel Core i3-6100U 2.3 GHz 8GB Ram 1TB HD DVD RW Windows 10 Silver",http://www.ebay.com/itm/New-HP-15-6-Intel-Core-i3-6100U-2-3-GHz-8GB-Ram-1TB-HD-DVD-RW-Windows-10-Silver-/351986813512?epid=2158736242&hash=item51f40c8a48:g:Ne4AAOSwLQpZqbIM," $309.99"
,," $225.00"
,," $339.95"
,," $169.95"
,," $365.95"
" New Asus X540S 15.6"" Intel Quad Core 2.56GHz 1TB HDD 4GB DVDRW Btooth Windows 10",http://www.ebay.com/itm/New-Asus-X540S-15-6-Intel-Quad-Core-2-56GHz-1TB-HDD-4GB-DVDRW-Btooth-Windows-10-/282412086193?epid=756323579&hash=item41c11273b1:g:~OMAAOSwaLhZgORC," $249.99"
" DELL LATiTUDE LAPTOP Windows 10 Intel Core Duo 2GHz 2GB Ram DVD WiFi HD Computer",http://www.ebay.com/itm/DELL-LATiTUDE-LAPTOP-Windows-10-Intel-Core-Duo-2GHz-2GB-Ram-DVD-WiFi-HD-Computer-/263172646959?epid=1361660510&hash=item3d464fe82f:g:NrUAAOSwbZJZozt1," $99.99"
" DELL LATiTUDE LAPTOP 15.4 HD Widescreen Computer Windows 10 Intel Core Duo 2GHz",http://www.ebay.com/itm/DELL-LATiTUDE-LAPTOP-15-4-HD-Widescreen-Computer-Windows-10-Intel-Core-Duo-2GHz-/263185141523?epid=219531699&hash=item3d470e8f13:g:VXoAAOSwTxpZrGwO," $99.99"
" DELL LAPTOP WINDOWS 10 PC Core i5 2.4Ghz 4GB RAM WiFi DVDRW NOTEBOOK 250GB HD",http://www.ebay.com/itm/DELL-LAPTOP-WINDOWS-10-PC-Core-i5-2-4Ghz-4GB-RAM-WiFi-DVDRW-NOTEBOOK-250GB-HD-/161816188033?epid=1361660510&hash=item25acff1481:g:XucAAOSwPc9Wz9G7," $155.00"
,," $859.99"
,," $74.12"
,,"$486.95 to $516.95 "
" DELL Latitude Laptop Computer Windows Intel Core 2 Duo DVD WiFi Notebook HD",http://www.ebay.com/itm/DELL-Latitude-Laptop-Computer-Windows-Intel-Core-2-Duo-DVD-WiFi-Notebook-HD-/263152291993?hash=item3d45195099:g:uEgAAOSwYZ9Zlzmp," $109.99"
,," $289.99"
" DELL Inspiron 11.6 TouchScreen 2-in-1 Laptop Intel 2.48GHz 32GB WebCam WiFi HDMI",http://www.ebay.com/itm/DELL-Inspiron-11-6-TouchScreen-2-in-1-Laptop-Intel-2-48GHz-32GB-WebCam-WiFi-HDMI-/111844641677?epid=1554217179&hash=item1a0a75cb8d:g:cP4AAOSwXYtY0fEp," $199.95"
,," $179.00"
" DELL LATITUDE E6320 LAPTOP WINDOWS 10 WIN INTEL i5 2.5GHz 8GB DVD-RW HDMI WEBCAM",http://www.ebay.com/itm/DELL-LATITUDE-E6320-LAPTOP-WINDOWS-10-WIN-INTEL-i5-2-5GHz-8GB-DVD-RW-HDMI-WEBCAM-/151717606311?hash=item235312f3a7:g:oygAAOSwVctY5XKr," $193.00"
,," $899.99"
